[BASH] Running the CPU only (default) graph500 for scale 21 with sorted edges
762.62	721.00	32.18	720.91	0.07	0.00	720.91	0.00	0.00	0.00	0.00	0.00	67108862	0.0931
244.06	230.99	4.58	230.94	0.05	0.00	230.94	0.00	0.00	0.00	0.00	0.00	67108862	0.2905
217.05	193.99	17.66	193.95	0.04	0.00	193.95	0.00	0.00	0.00	0.00	0.00	67108862	0.3459
326.64	315.83	1.58	315.77	0.04	0.00	315.77	0.00	0.00	0.01	0.00	0.00	67108862	0.2125
343.81	325.30	4.56	325.22	0.07	0.00	325.22	0.00	0.00	0.01	0.00	0.00	67108862	0.2063
295.90	284.50	6.05	284.44	0.05	0.00	284.44	0.00	0.00	0.01	0.00	0.00	67108862	0.2359
274.85	264.29	1.52	264.24	0.04	0.00	264.24	0.00	0.00	0.00	0.00	0.00	67108862	0.2539
318.81	295.02	17.00	294.97	0.05	0.00	294.97	0.00	0.00	0.00	0.00	0.00	67108862	0.2275
381.45	365.00	10.97	364.95	0.05	0.00	364.95	0.00	0.00	0.00	0.00	0.00	67108862	0.1839
350.15	322.17	19.44	322.10	0.06	0.00	322.10	0.00	0.00	0.01	0.00	0.00	67108862	0.2083
193.33	181.41	5.98	181.37	0.04	0.00	181.37	0.00	0.00	0.00	0.00	0.00	67108862	0.3699
257.29	242.95	4.76	242.90	0.04	0.00	242.90	0.00	0.00	0.01	0.00	0.00	67108862	0.2762
549.24	503.37	29.10	503.30	0.06	0.00	503.30	0.00	0.00	0.01	0.00	0.00	67108862	0.1333
544.02	526.36	7.91	526.29	0.07	0.00	526.29	0.00	0.00	0.01	0.00	0.00	67108862	0.1275
218.44	208.33	4.74	208.28	0.04	0.00	208.28	0.00	0.00	0.01	0.00	0.00	67108862	0.3221
346.10	326.77	4.11	326.29	0.47	0.00	326.29	0.00	0.00	0.01	0.00	0.00	67108862	0.2054
332.99	318.81	4.75	318.75	0.04	0.00	318.75	0.00	0.00	0.00	0.00	0.00	67108862	0.2105
329.46	315.62	4.62	315.56	0.06	0.00	315.56	0.00	0.00	0.01	0.00	0.00	67108862	0.2126
266.55	252.25	8.97	252.20	0.04	0.00	252.20	0.00	0.00	0.00	0.00	0.00	67108862	0.2660
321.49	298.26	4.52	298.21	0.05	0.00	298.21	0.00	0.00	0.01	0.01	0.00	67108862	0.2250
235.58	223.22	4.67	223.17	0.05	0.00	223.17	0.00	0.00	0.00	0.00	0.00	67108862	0.3006
233.60	226.12	2.11	226.08	0.04	0.00	226.08	0.00	0.00	0.00	0.00	0.00	67108862	0.2968
312.01	297.78	4.56	297.71	0.06	0.00	297.71	0.00	0.00	0.00	0.00	0.00	67108862	0.2254
286.25	270.36	5.83	270.30	0.05	0.00	270.30	0.00	0.00	0.01	0.00	0.00	67108862	0.2482
240.63	230.37	4.66	230.31	0.04	0.00	230.31	0.00	0.00	0.00	0.00	0.00	67108862	0.2913
