[BASH] Running the hybrid graph500 for scale 21 with sorted edges
Initializing the shares for Hybrid platform.
	time_init:15804.01	time_par:784.06	rmt_vertex:50	rmt_edge:50	beta:2	pid0:50,50,25,25	pid1:50,50,25,25	
total	exec	init	comp	comm	finalize	cpu_comp	gpu_comp	gpu_total_comp	scatter	gather	aggr	trv_edges	exec_rate
2560.91	2493.27	3.98	2326.76	166.07	0.00	355.46	2298.93	2298.93	19.74	28.58	0.80	67108862	0.0269
2592.30	2487.24	26.84	540.54	1946.66	0.00	297.77	537.10	537.10	52.83	23.87	0.85	67108862	0.0270
1963.80	1859.10	42.88	1716.81	142.27	0.00	387.17	1700.49	1700.49	20.07	12.55	0.83	67108862	0.0361
1996.00	1858.39	50.56	435.03	1423.35	0.00	269.46	421.75	421.75	78.77	16.31	0.79	67108862	0.0361
898.29	802.70	38.60	591.35	211.34	0.00	225.26	574.92	574.92	55.74	15.52	0.82	67108862	0.0836
866.08	778.56	4.51	361.75	416.80	0.00	234.90	355.08	355.08	79.20	15.90	0.81	67108862	0.0862
4851.63	4789.39	11.66	1557.77	3231.61	0.00	394.74	1502.45	1502.45	25.21	24.04	1.13	67108862	0.0140
4563.10	4494.02	2.74	3364.09	1129.91	0.00	712.58	3342.67	3342.67	18.00	23.07	0.82	67108862	0.0149
1139.08	1064.43	2.66	683.81	380.57	0.00	345.03	646.52	646.52	53.02	23.13	0.77	67108862	0.0630
1216.81	1139.34	12.37	1007.61	131.72	0.00	206.02	978.52	978.52	58.98	17.09	0.79	67108862	0.0589
2773.14	2686.59	5.08	2517.27	169.31	0.00	556.11	2465.71	2465.71	14.95	20.12	2.41	67108862	0.0250
2702.03	2626.75	20.64	845.17	1781.58	0.00	334.76	798.59	798.59	31.23	17.97	0.84	67108862	0.0255
1092.16	1005.77	15.25	871.53	134.22	0.00	340.30	867.95	867.95	50.82	24.56	0.83	67108862	0.0667
1068.67	999.42	5.96	452.17	547.24	0.00	247.88	416.08	416.08	63.70	16.28	0.81	67108862	0.0671
1760.28	1595.11	91.29	757.03	838.03	0.00	585.39	465.00	465.00	85.00	16.53	0.75	67108862	0.0421
1285.44	1190.50	27.87	1101.64	88.84	0.00	306.87	1081.60	1081.60	17.05	17.60	0.80	67108862	0.0564
1120.55	1029.12	27.73	778.90	250.21	0.00	243.50	736.56	736.56	35.21	14.40	0.79	67108862	0.0652
1136.78	1026.47	27.95	407.21	619.25	0.00	244.99	397.23	397.23	88.62	21.40	0.78	67108862	0.0654
2163.25	2096.49	10.91	1963.93	132.55	0.00	348.83	1929.59	1929.59	21.74	15.92	0.81	67108862	0.0320
2108.94	2032.69	5.06	831.45	1201.22	0.00	353.40	785.11	785.11	19.59	16.23	0.80	67108862	0.0330
1317.65	1240.62	5.06	514.74	725.88	0.00	270.25	500.05	500.05	57.43	16.34	0.77	67108862	0.0541
1357.13	1273.19	13.65	1154.69	118.49	0.02	312.86	1118.98	1118.98	24.70	19.59	0.79	67108862	0.0527
3739.39	3650.05	25.25	3468.65	181.39	0.00	615.52	3440.80	3440.80	21.50	23.78	0.79	67108862	0.0184
3773.02	3660.51	30.43	359.26	3301.21	0.00	263.76	331.35	331.35	58.14	16.54	0.84	67108862	0.0183
1657.97	1509.98	88.57	1341.85	168.10	0.00	433.60	1100.60	1100.60	66.48	23.14	0.80	67108862	0.0444
